0.312	0.000	0.000
0.328	0.000	0.000
0.343	0.000	0.000
0.374	0.000	0.000
0.390	0.000	0.000
0.406	0.000	0.000
0.421	0.000	0.000
0.437	0.000	0.000
0.452	0.000	0.000
0.468	0.000	0.000
0.484	0.000	0.000
0.499	0.000	0.000
0.515	0.000	0.000
0.530	0.000	0.000
0.546	0.000	0.000
0.562	0.000	0.000
0.577	0.000	0.000
0.593	0.000	0.000
0.608	0.000	0.000
0.624	0.000	0.000
0.640	0.000	0.000
0.655	0.000	0.000
0.671	0.000	0.000
0.686	0.000	0.000
0.702	0.000	0.000
0.718	0.000	0.000
0.733	0.000	0.000
0.749	0.000	0.000
0.764	0.000	0.000
0.780	0.000	0.000
0.796	0.000	0.000
0.811	0.000	0.000
0.827	0.000	0.000
0.842	0.000	0.000
0.858	0.000	0.000
0.874	0.000	0.000
0.889	0.000	0.000
0.905	0.000	0.000
0.920	0.000	0.000
0.936	0.000	0.000
0.952	0.000	0.000
0.967	0.000	0.000
0.998	0.000	0.000
1.014	0.000	0.000
1.030	0.000	0.000
1.045	0.000	0.000
1.061	0.000	0.000
1.076	0.000	0.000
1.092	0.000	0.000
1.108	0.000	0.000
1.123	0.000	0.000
1.139	0.000	0.000
1.154	0.000	0.000
1.170	0.000	0.000
1.186	0.000	0.000
1.201	0.000	0.000
1.217	0.000	0.000
1.232	0.000	0.000
1.248	0.000	0.000
1.264	0.000	0.000
1.279	0.000	0.000
1.295	0.000	0.000
1.310	0.000	0.000
1.326	0.000	0.000
1.342	0.000	0.000
1.357	0.000	0.000
1.373	0.000	0.000
1.388	0.000	0.000
1.404	0.000	0.000
1.420	0.000	0.000
1.435	0.000	0.000
1.451	0.000	0.000
1.466	0.000	0.000
1.482	0.000	0.000
1.498	0.000	0.000
1.513	0.000	0.000
1.529	0.000	0.000
1.544	0.000	0.000
1.560	0.000	0.000
1.576	0.000	0.000
1.607	0.000	0.000
1.622	0.000	0.000
1.638	0.000	0.000
1.654	0.000	0.000
1.669	0.000	0.000
1.685	0.000	0.000
1.700	0.000	0.000
1.716	0.000	0.000
1.732	0.000	0.000
1.747	0.000	0.000
1.763	0.000	0.000
1.778	0.000	0.000
1.794	0.000	0.000
1.810	0.000	0.000
1.825	0.000	0.000
1.841	0.000	0.000
1.856	0.000	0.000
1.872	0.000	0.000
